"collections_title","collections_url","collections_tags_media","collections_tags_subject","collections_description"
"College Women's Association of Japan Print Show Collection","https://www.loc.gov/collections/college-womens-association-of-japan-print-show/about-this-collection/","","","More than 180 artists living and working in Japan created the 212 fine art prints in the College Women's Association of Japan Print Show Collection. The prints\, dating primarily from 2003 to 2005\, encompass a rich diversity of styles\, printmaking techniques\, and subject matter. The CWAJ show\, an annual event in Tokyo\, Japan\, since 1956\, is a renowned venue for contemporary Japanese creative print..."
"Confederate States of America Records","https://www.loc.gov/collections/confederate-states-of-america-records/about-this-collection/","","War-AmericanCivilWar","The records of the Confederate States of America span the years 1854-1889\, with the bulk of the material concentrated in the period 1861-1865\, during the Civil War in America. The collection relates to the formation of the government of the Confederacy and the conduct of its internal\, external\, and military affairs. With few exceptions\, the collection consists of official or semiofficial records generated by..."
"Coptic Orthodox Liturgical Chant and Hymnody","https://www.loc.gov/collections/coptic-orthodox-liturgical-chant/about-this-collection/","","","With its roots in Ancient Egyptian music\, Coptic Christian chant is one of the oldest liturgical genres still performed today. Drawing on the Ragheb Moftah Collection\, this presentation explores some of the earliest music transcriptions by explorers\, missionaries\, and scholars in Egypt\, highlighting Moftah's efforts to notate\, record\, and preserve all Coptic Orthodox hymns. Learn more about current scholarship and what is happening in..."
"Country Studies","https://www.loc.gov/collections/country-studies/about-this-collection/","","","Contains the electronic versions of 80 books previously published in hard copy as part of the Country Studies Series by the Federal Research Division. Intended for a general audience\, books in the series present a description and analysis of the historical setting and the social\, economic\, political\, and national security systems and institutions of select countries throughout the world. Most books in the series..."
"Crisis in Darfur 2006 Web Archive","https://www.loc.gov/collections/crisis-in-darfur-2006-web-archive/about-this-collection/","","","Collection Period: February 20\, 2006 to December 5\, 2006. Described by the United Nations as the world’s worst humanitarian crisis\, the current conflict in Sudan’s western region of Darfur began in early 2003\, when rebels attacked government targets and then expanded to the widespread killing of civilians and the destruction of villages. These attacks have led to more than two million people being displaced..."
"Curtis (Edward S.) Collection","https://www.loc.gov/collections/edward-s-curtis/about-this-collection/","Media-Photos","","The Curtis collection consists of more than 2\,400 silver-gelatin\, first generation photographic prints--some of which are sepia-toned--made from Curtis's original glass negatives. Most of the photographic prints are 5\" x 7\" although nearly one hundred are 11\" x 14\" and larger; many include the Curtis file or negative number within the image at the lower left-hand corner. Images from each of the geo-cultural regions..."
"Daguerreotypes","https://www.loc.gov/collections/daguerreotypes/about-this-collection/","Media-Photos","","There are approximately 700 daguerreotypes in the Prints & Photographs Division. The majority of the images are portraits\, but the collection does include a few early architectural views\, outdoor scenes\, and copies of works of art. 384 of the daguerreotypes are credited to Mathew Brady's studio. Brady\, who today is mainly remembered for the work produced by his studio during the Civil War\, opened..."
"The Danny Kaye and Sylvia Fine Collection","https://www.loc.gov/collections/danny-kaye-and-sylvia-fine/about-this-collection/","Media-Photos","","Danny Kaye and Sylvia Fine in London American actor\, singer and comedian Danny Kaye arrives with his wife\, Sylvia Fine\, for an appearance in London. November 1948. Following the professional lives of the husband-wife artistic duo\, this presentation features a wide variety of materials\, including manuscripts\, scores\, scripts\, photographs\, sound recordings and video clips from the Danny Kaye and Sylvia Fine Collection. Kaye\, a..."
"Dayton C. Miller Collection","https://www.loc.gov/collections/dayton-c-miller-collection/about-this-collection/","","","The collection contains nearly 1\,700 flutes and other wind instruments\, statuary\, iconography\, books\, music\, trade catalogs\, tutors\, patents\, and other materials mostly related to the flute. It includes both Western and nonwestern examples of flutes from around the world\, with at least 460 European and American instrument makers represented. Items in the collection date from the 16th to the 20th century. Dayton C. Miller..."
"Department of Defense Annual Reports (1948-1996) and Military Branch Budget Justification Books (1980-1996)","https://www.loc.gov/collections/department-of-defense-budget-reports/about-this-collection/","","","This collection consists of: Department of Defense Annual Reports (1948-1996) and military service branch Justification of Estimates Books\, \"J-Books\" (1980-1996). The digital collection is based on a large physical reference collection held by the Foreign Affairs\, Defense\, and Trade Section of the Congressional Research Service (CRS). CRS works exclusively for Congress. Serial and Government Publications Division\, Library of Congress\, digitized the collection. It includes..."
"Detroit Publishing Company","https://www.loc.gov/collections/detroit-publishing-company/about-this-collection/","Media-Photos","","Includes over 25\,000 glass negatives and transparencies as well as about 300 color photolithograph prints\, mostly of the eastern United States. Subjects strongly represented in the collection include city and town views\, including streets and architecture; parks and gardens; recreation; and industrial and work scenes. History of the Firm | Acquisition of the Collection | Photographers | Subjects History of the Firm Detroit Photographic..."
"Discovery and Exploration","https://www.loc.gov/collections/discovery-and-exploration/about-this-collection/","Media-Maps","","This category documents the discovery and exploration with both manuscripts and published maps. Many of these maps reflect the European Age of Discoveries\, dating from the late 15th century to the 17th century when Europeans were concerned primarily with determining the outline of the continents as they explored and mapped the coastal areas and the major waterways. Also included are 18th and 19th century..."
"Documents from the Continental Congress and the Constitutional Convention\, 1774-1789","https://www.loc.gov/collections/continental-congress-and-constitutional-convention-from-1774-to-1789/about-this-collection/","","War-AmericanRevolution","Contains 277 documents relating to the work of Congress and the drafting and ratification of the Constitution. Items include extracts of the journals of Congress\, resolutions\, proclamations\, committee reports\, treaties\, and early printed versions of the United States Constitution and the Declaration of Independence. Most broadsides are one page in length; others range from 1 to 28 pages. A number of these items contain..."
"Dolly Parton and the Roots of Country Music","https://www.loc.gov/collections/dolly-parton-and-the-roots-of-country-music/about-this-collection/","","","This presentation explores the influences of country music on Dolly's life and career. Though sometimes overshadowed by the more glamorous aspects of Dolly Parton's popular image\, traditional Appalachian folk\, country\, and bluegrass music have played an important role in her life\, to a much greater extent than one might imagine from looking at the bulk of her career."
"Drawings (Documentary)","https://www.loc.gov/collections/documentary-drawings/about-this-collection/","","War-AmericanCivilWar","The Documentary Drawings category includes more than 3\,000 drawings made between 1750 and 1970. Eye-witness sketches made during the U.S. Civil War are the most frequently used images. Also included are topographical views\, bank note vignettes\, portraits\, and courtroom sketches. A large group of Russian drawings show areas of China in the 1800s. Among the well-known artists represented by numerous works are William Birch\,..."
"Drawings (Master)","https://www.loc.gov/collections/master-drawings/about-this-collection/","","","Background and Scope: Joseph Pennell Drawings Some 4\,700 drawings created by American artist\, illustrator\, printmaker\, and writer Joseph Pennell (1857-1926) are preserved in the Library of Congress Prints and Photographs Division. Such a large body of work from the period known as America's golden age of illustration offers researchers many opportunities to gain new insights into that era\, the life of an artist\, and..."
"E. B. Washburne Papers","https://www.loc.gov/collections/e-b-washburne-papers/about-this-collection/","","","The papers of United States representative from Illinois\, diplomat\, lawyer\, and historian E. B. (Elihu Benjamin) Washburne (1816-1887) consist of 37\,000 items in 144 containers. The material spans the years 1829-1915\, with the bulk of the collection dating from 1852 to 1882. Bound volumes of letters received by Washburne constitute the largest part of the collection and relate to Washburne's career as a member..."
"Early American Sheet Music","https://www.loc.gov/collections/early-american-sheet-music/about-this-collection/","","","The Library of Congress classification number M1.A1 includes music printed or 'copied in manuscript' in the United States or the colonies through 1820. As an early record of musical life in America and the colonies\, this classification number holds many interesting popular and topical pieces. Contemporary English composers such as Samuel Arnold\, Charles Dibdin\, and William Shield are well-represented as one would expect. There..."
"Edwin McMasters Stanton Papers\, 1818-1921","https://www.loc.gov/collections/edwin-mcmasters-stanton-papers/about-this-collection/","","War-AmericanCivilWar","The papers of lawyer and Secretary of War Edwin McMasters Stanton (1814-1869) span the years 1818-1921\, with the bulk of the material originating between 1862 and 1870. They consist of approximately 7\,650 items\, most digitally scanned from 14 microfilm reels. The papers focus chiefly on Stanton's tenure as secretary of war under presidents Abraham Lincoln and Andrew Johnson and stress his role in the..."
"Egypt 2008 Web Archive","https://www.loc.gov/collections/egypt-2008-web-archive/about-this-collection/","","","Collection Period: April 12\, 2008 to May 31\, 2008. In 2008 Egypt witnessed a remarkable experience rich in political and democratic practices\, and the sites captured back then should be revisited in the context of current events. In Spring 2008 the April 6 Youth Movement\, an Egyptian activist group established in to support the workers in an industrial town\, appeared in local politics as..."
"Elizabeth Cady Stanton Papers","https://www.loc.gov/collections/elizabeth-cady-stanton-papers/about-this-collection/","","","The papers of suffragist\, reformer\, and feminist theorist Elizabeth Cady Stanton (1815-1902) cover the years 1814 to 1946\, with most of the material concentrated between 1840 and 1902. Consisting of approximately 1\,000 items (4\,164 images)\, reproduced on five reels of recently digitized microfilm\, the collection contains correspondence\, speeches\, articles\, drafts of books\, scrapbooks\, and printed matter relating to Stanton and the woman's rights movement...."
"Elliott Carter Collection","https://www.loc.gov/collections/elliott-carter/about-this-collection/","","","Elliott Carter (1908-2012) was one of the most innovative American composers of the twentieth century. An extensive collection of his holograph scores and sketches are available in the Library of Congress\, and a portion of these sketches have been made available online for researchers. These sketches trace the composer's journey of discovery during the most defining part of his career: 1932-1971. The Elliott Carter..."
"Eltaher Collection","https://www.loc.gov/collections/eltaher-collection/about-this-collection/","Media-Photos","","The Eltaher Collection consists of more than 2\,000 items in various formats\, including books\, pamphlets\, photographs\, personal correspondence\, and newspaper clippings among other documents. The majority of the collection is in Arabic\, with some in English. The collection documents the history of the Arab world from 1912 to 1974\, with a focus on the life of a well-known Palestinian Arab journalist and newspaper editor\,..."
"Emile Berliner and the Birth off the Recording Industry","https://www.loc.gov/collections/emile-berliner/about-this-collection/","","","This collection showcases the work of Emile Berliner\, a prominent inventor at the end of the nineteenth and the beginning of the twentieth centuries. Overlooked by today's historians\, Berliner's creative genius rivaled that of his better-known contemporaries Thomas Alva Edison and Alexander Graham Bell\, and\, like the works of these two inventors\, Berliner's innovations helped shape the modern American way of life. In America..."
"Ernest Block Collection","https://www.loc.gov/collections/ernest-bloch/about-this-collection/","","","This site features nineteen early manuscript compositions by composer Ernest Bloch (1880-1959)\, spanning the period from 1896 to 1916\, and comprising a portion of the Ernest Bloch Collection at the Library of Congress. The Swiss-born composer attracted international attention in 1919 by winning the Elizabeth Sprague Coolidge prize for his Suite for Viola and Piano. He became a well-known conductor and teacher\, serving as..."
"Event Videos","https://www.loc.gov/collections/event-videos/about-this-collection/","","","The Library of Congress hosts public events featuring authors\, world leaders\, entertainers\, scholars and sports legends. We have been recording Library events for decades and are making those recordings available in this collection. Examples of events you can watch are: Authors featured at the National Book Festival Poetry readings and discussions Concerts Curators sharing fascinating discoveries from the Library’s collections. Check the Library's calendar of events for..."
"The Evolution of the Conservation Movement","https://memory.loc.gov/ammem/amrvhtml/conshome.html","Media-Photos","","The Evolution of the Conservation Movement\, 1850-1920 documents the historical formation and cultural foundations of the movement to conserve and protect America's natural heritage\, through books\, pamphlets\, government documents\, manuscripts\, prints\, photographs\, and motion picture footage drawn from the collections of the Library of Congress. The collection consists of 62 books and pamphlets\, 140 Federal statutes and Congressional resolutions\, 34 additional legislative documents\, excerpts..."
"Farm Security Administration/Office of War Information Black-and-White Negatives","https://www.loc.gov/collections/fsa-owi-black-and-white-negatives/about-this-collection/","Media-Photos","","The photographs of the Farm Security Administration - Office of War Information Photograph Collection form an extensive pictorial record of American life between 1935 and 1944. This U.S. government photography project was headed for most of its existence by Roy E. Stryker\, formerly an economics instructor at Columbia University\, and employed such photographers as Walker Evans\, Dorothea Lange\, Russell Lee\, Arthur Rothstein\, Ben Shahn\,..."
"Farm Security Administration/Office of War Information Color Photographs","https://www.loc.gov/collections/fsa-owi-color-photographs/about-this-collection/","Media-Photos","War-WW2","Photographers working for the U.S. government's Farm Security Administration (FSA) and later the Office of War Information (OWI) between 1939 and 1944 made approximately 1\,600 color photographs that depict life in the United States\, including Puerto Rico and the Virgin Islands. The pictures focus on rural areas and farm labor\, as well as aspects of World War II mobilization\, including factories\, railroads\, aviation training\,..."
"Federal Courts Web Archive","https://www.loc.gov/collections/federal-courts-web-archive/about-this-collection/","","","Collection Period: April 9\, 2014 to ongoing. The Federal Courts Web Archive provides unique resources for scholars and others conducting retrospective research into the work of the federal judiciary. This collection includes the websites of the U.S. Supreme Court\, U.S. Courts of Appeals\, U.S. District Courts\, and U.S. Bankruptcy Courts. This collection also includes the sites of the federal judiciary’s specialty courts\, including the..."
"Federal Register","https://www.loc.gov/collections/federal-register/about-this-collection/","","","The Federal Register is the official daily publication for Presidential Documents\, Executive Orders\, proposed\, interim\, and final rules and regulations\, and notices by Federal Agencies\, as well as notices of hearings\, decisions\, investigations\, and committee meetings. The Federal Register has been published by the National Archives and Records Administration since 1936 and consists of several distinct parts. A citation to the Federal Register–for example..."
"The Federal Theatre Project\, 1935 to 1939","https://www.loc.gov/collections/federal-theatre-project-1935-to-1939/about-this-collection/","Media-Photos","","This online presentation includes items selected from the Federal Theatre Project Collection at the Library of Congress. Featured here are stage and costume designs\, photographs\, posters\, playbills\, programs\, and playscripts\, including productions of Macbeth and The Tragical History of Dr. Faustus as staged by Orson Welles\, and Power\, a topical drama of the period. Selected administrative documents from the project are also available. The..."
"Felix Mendelssohn at the Library of Congress","https://www.loc.gov/collections/felix-mendelssohn/about-this-collection/","","","Made available here are digital images of selected resources on this composer. This collection was created to mark the bicentennial of the birth of composer Felix Mendelssohn on February 3\, 2009. The Library of Congress’s Music Division is one of the world’s major repositories of primary source material related to the composer."
"Fenton Crimean War Photographs","https://www.loc.gov/collections/fenton-crimean-war-photographs/about-this-collection/","Media-Photos","War-CrimeanWar","Roger Fenton's Crimean War photographs represent one of the earliest systematic attempts to document a war through the medium of photography. Fenton\, who spent fewer than four months in the Crimea (March 8 to June 26\, 1855)\, produced 360 photographs under extremely trying conditions. While these photographs present a substantial documentary record of the participants and the landscape of the war\, there are no..."
"Fiddle Tunes of the Old Frontier: The Henry Reed Collection","https://www.loc.gov/collections/henry-reed-fiddle-tunes/about-this-collection/","","","Fiddle Tunes of the Old Frontier: The Henry Reed Collection presents traditional fiddle tunes performed by Henry Reed of Glen Lyn\, Virginia. Recorded by folklorist Alan Jabbour in 1966-67\, when Reed was over eighty years old\, the tunes represent the music and evoke the history and spirit of Virginia's Appalachian frontier. Many of the tunes have passed back into circulation during the fiddling revival..."
"Finding Our Place in the Cosmos: From Galileo to Sagan and Beyond","https://www.loc.gov/collections/finding-our-place-in-the-cosmos-with-carl-sagan/about-this-collection/","","","A thematic collection exploring changing models of the universe through time\, ideas of life on other words and Carl Sagan’s place in the tradition of science. It features manuscripts\, rare books\, celestial atlases\, newspaper articles\, sheet music and movie posters. Like our ancestors\, we look up at the heavens and wonder. What is the structure of the universe? How significant are we? Are we..."
"Fine Prints","https://www.loc.gov/collections/fine-prints/about-this-collection/","","","About 85\,000 prints created as art works\, ca. 1450-present (most dating between 1800 and the present). Prints by American printmakers and artists (e.g.\, Paul Revere\, Mary Cassatt\, Jim Dine\, Joseph Pennell) predominate\, but creators in many other countries are also represented (e.g.\, Albrecht Dürer and Marc Chagall). Subjects vary widely\, for example\, portraits\, religious themes\, historical events\, and street scenes. Descriptions of the portion..."
"Fine Prints: Japanese\, pre-1915","https://www.loc.gov/collections/japanese-fine-prints-pre-1915/about-this-collection/","","","The Library's Prints and Photographs Division houses more than 2\,500 woodblock prints and drawings by Japanese artists of the seventeenth through early twentieth centuries including Hiroshige\, Kuniyoshi\, Sadahide\, and Yoshiiku. The Library of Congress appreciates the financial support provided by Nicihibunken (International Research Center for Japanese Studies\, an Inter-University Research Institute Corporation) to scan 1\,100 of the Ukiyo-e prints. A modern version of the..."
"Florida Folklife from the WPA Collections\, 1937-1942","https://www.loc.gov/collections/florida-folklife-from-the-works-progress-administration/about-this-collection/","","","Florida Folklife from the WPA Collections combines sound recordings and manuscript materials from four discrete archival collections made by Work Projects Administration (WPA) workers from the Joint Committee on Folk Arts\, the Federal Writers' Project\, and the Federal Music Project from 1937-42. This online presentation provides access to 376 sound recordings and 106 accompanying materials\, including recording logs\, transcripts\, correspondence between Florida WPA workers..."
"Foreign Law Web Archive","https://www.loc.gov/collections/foreign-law-web-archive/about-this-collection/","","","Collection Period: June 20\, 2016 to ongoing. The Foreign Law Web Archive is a collection of foreign legal materials\, including gazettes and judicial sites. Many foreign legal materials are now posted online\, with some jurisdictions dispensing with a print publication entirely. Certain jurisdictions' legal materials are challenging to acquire or considered at-risk of disappearing from the web. The Law Library of Congress is now..."
"Franklin Pierce Papers","https://www.loc.gov/collections/franklin-pierce-papers/about-this-collection/","","","The papers of Franklin Pierce (1804-1869)\, army officer\, representative and senator from New Hampshire\, and fourteenth president of the United States\, contain approximately 2\,350 items dating from 1820 to 1869. They include correspondence\, a photostatic copy of a diary kept by Pierce while serving in the Mexican War\, drafts of Pierce’s messages to Congress\, and an engraved portrait. Pierce’s correspondence relates chiefly to his..."
"Franz Liszt at the Library of Congress","https://www.loc.gov/collections/franz-liszt-at-the-library-of-congress/about-this-collection/","","","In order to commemorate the bicentenary of Hungarian composer and pianist Franz Liszt's birth (2011)\, as well as to bring attention to the Library of Congress's substantial holdings of primary source material related to this composer\, this presentation is offered as a portal to facilitate the exploration of the Library's rich resources for performing research on Liszt's life and career. Several items pertaining to..."
"Frederick Douglass Papers at the Library of Congress","https://www.loc.gov/collections/frederick-douglass-papers/about-this-collection/","","","The Frederick Douglass Papers at the Library of Congress presents the papers of the nineteenth-century African American abolitionist who escaped from slavery and then risked his freedom by becoming an outspoken antislavery lecturer\, writer\, and publisher. The online collection\, containing approximately 7\,400 items (38\,000 images)\, spans the years 1841-1964\, with the bulk of the material dating from 1862 to 1865. Many of Douglass’s earlier..."
"Frederick Law Olmsted Papers","https://www.loc.gov/collections/frederick-law-olmsted-papers/about-this-collection/","","","The papers of farmer\, writer\, reformer\, landscape architect\, urban and suburban planner\, and conservationist Frederick Law Olmsted (1822-1903) consist of approximately 24\,000 items (roughly 47\,300 images)\, most of which were digitized from 60 reels of previously produced microfilm. The collection\, spanning from 1777 to 1952\, with the bulk dating 1838-1903\, contains materials on both Olmsted's private and professional life. Items\, including family journals\, family..."
"Freedom's Fortress: The Library of Congress\, 1939-1953","https://www.loc.gov/collections/freedoms-fortress/about-this-collection/","Media-Photos","","Freedom’s Fortress: The Library of Congress\, 1939-1953\, contains a selection of 209 letters\, memoranda\, photographs\, and publications (1\,176 images) documenting a momentous period in the history of the Library of Congress when the institution underwent a myriad of changes that established it as one of America’s foremost citadels of intellectual freedom. During and shortly after World War II\, Librarians of Congress Archibald MacLeish and..."
"Frontline Democracy: The Foreign Affairs Oral History Collection of the Association for Diplomatic Studies and Training","https://www.loc.gov/collections/foreign-affairs-oral-history/about-this-collection/","","","Frontline Diplomacy: The Foreign Affairs Oral History Collection of the Association for Diplomatic Studies and Training at the Library of Congress makes available interview transcripts from the oral history archives of the Association for Diplomatic Studies and Training (ADST). These transcripts present a window into the lives of U.S. diplomats and the major diplomatic crisis and issues that the United States faced during the..."
"General Maps","https://www.loc.gov/collections/general-maps/about-this-collection/","Media-Maps","","This category includes maps that typically portray the physical environment and a variety of cultural elements for a geographic area at a particular point in time. The maps in this category show a geographic area larger than a city or town and do not display a subject that is part of one of the thematic categories."
"General News on the Internet Web Archive","https://www.loc.gov/collections/general-news-on-the-internet-web-archive/about-this-collection/","","","Collection Period: June 2014 to ongoing. The General News on the Internet Web Archive contains general news sites with a focus on stories of national interest for all audience levels. The collection contains born-digital publications and publications that were once only available in print and are now only available online. Given the dynamic nature of the 24-hour news cycle of today\, these archives are..."
"Genthe Collection","https://www.loc.gov/collections/genthe/about-this-collection/","Media-Photos","","Arnold Genthe (1869-1942) was an internationally recognized photographer working in the soft-focus pictorialist style. The Library of Congress acquired approximately 20\,000 items from his unclaimed studio after his death. The \"electronic collection\" contains approximately 16\,000 of Genthe's black and white negatives\, transparencies\, lantern slides\, and color autochromes. Its production was part of an initiative by Congress that enables the Library to preserve its fragile..."
"Geographers on Film","https://www.loc.gov/collections/geographers-on-film/about-this-collection/","","","Geographers on Film are a collection of recorded interviews conducted with hundreds of geographers from August 1970 until the mid-1980s\, which includes scholars\, and cartographers who have shaped the discipline. Interviews with Carl Sauer\, Richard Hartshorne\, Wilbur Zelinsky\, Richard Chorley\, Mildred Berman\, William Warntz\, Waldo Tobler\, John Fraser Hart\, Peter Hagget\, E. Cotton Mather\, Yi-Fu Tuan and William Bunge\, are just a few of..."
"George Brinton McClellan Papers","https://www.loc.gov/collections/george-brinton-mcclellan-papers/about-this-collection/","","","The papers of U.S. Army officer and governor of New Jersey George Brinton McClellan (1826-1885) consist of 33\,000 items (59\,477 images)\, most of which were digitized from 82 reels of previously produced microfilm. Spanning the years 1783-1898\, with the bulk dating from 1850 to 1885\, the collection contains correspondence\, telegrams\, memoranda\, diaries\, writings\, notes\, military papers\, McClellan family papers\, scrapbooks\, printed copies of speeches\,..."
"George S. Patton Papers: Diaries\, 1910-1945","https://www.loc.gov/collections/george-s-patton-diaries/about-this-collection/","","","The diaries of U.S. army officer George S. Patton (1885-1945) are part of a larger collection of Patton papers available for research use onsite in the Manuscript Reading Room of the Library of Congress. The entire collection spans the years 1807-1979\, with the bulk of the papers concentrated from 1904 to 1945. The collection documents Patton's military career\, including his attendance at the United..."
"George Washington Papers","https://www.loc.gov/collections/george-washington-papers/about-this-collection/","","","The papers of army officer and first U.S. president George Washington (1732-1799) held in the Manuscript Division of the Library of Congress constitute the largest collection of original Washington papers in the world. They consist of approximately 65\,000 items accumulated by Washington between 1745 and 1799\, including correspondence\, diaries\, and financial and military records. The collection documents Washington’s childhood education\, his first career as..."
"The Gerry Mulligan Collection","https://www.loc.gov/collections/gerry-mulligan/about-this-collection/","","","[Portrait of Gerry Mulligan\, ca. 1980s] by William P. Gottlieb. Prints and Photographs Division\, Library of Congress. As a saxophonist\, composer\, arranger and band leader\, Gerry Mulligan (1927-1996) is a jazz legend. The Library of Congress serves as the repository for the Gerry Mulligan Collection\, which it obtained in the late 1990s. In this initial Web offering\, the Library of Congress is making available..."
"Gideon Welles Papers","https://www.loc.gov/collections/gideon-welles-papers/about-this-collection/","","","The papers of Gideon Welles (1802-1878)\, newspaper editor and U.S. secretary of the navy under Presidents Abraham Lincoln and Andrew Johnson\, consist of 15\,070 items (26\,302 images)\, most of which were digitized from 36 reels of previously produced microfilm. Spanning the years 1777-1911\, with the bulk dating from 1820 to 1878\, the collection includes correspondence\, diaries\, writings\, naval records\, scrapbooks\, and other papers relating..."
"Gladstone Collection of African American Photographs","https://www.loc.gov/collections/gladstone-african-american-photographs/about-this-collection/","Media-Photos","War-AmericanCivilWar","The William A. Gladstone Collection of African American Photographs provides almost 350 images showing African Americans and related military and social history. The Civil War era is the primary time period covered\, with scattered examples through 1945. Most of the images are photographs\, including 270 cartes de visite. For the list of approximately 100 different photographers\, see the Creator/Related Names Index. Subjects of special..."
"Goldstein Foundation Collection--Prints and Drawings","https://www.loc.gov/collections/goldstein-foundation-prints-and-drawings/about-this-collection/","","","This category consists of all of the individually issued prints and drawings in the Ben and Beatrice Goldstein Foundation Collection: 1\,688 items dating primarily from the 1880s to the 1960s. The collection focuses on working people\, American industry\, and political issues. Art work by social realists\, women\, African Americans\, and Mexicans is well represented. Ben Goldstein (1909-1995) worked as a labor adviser and adjudicator..."
"Gottscho-Scleisner Collection","https://www.loc.gov/collections/gottscho-schleisner/about-this-collection/","Media-Photos","","The collection of more than 45\,000 items (negatives\, transparencies and prints) came to the Library of Congress in the early 1980s. The online collection provides access to 29\,000 negatives and color transparencies. These were copied during a special preservation project in 1991-1993. Covering a time period roughly between 1896 and 1970 with the bulk portion dating 1935 - 1955\, the Gottscho-Schleisner collection provides a..."
"Grabill Collection","https://www.loc.gov/collections/grabill/about-this-collection/","Media-Photos","","The one hundred and eighty-eight photographs sent by John C.H. Grabill to the Library of Congress for copyright protection between 1887 and 1892 are thought to be the largest surviving collection of this gifted\, early Western photographer's work. Grabill's remarkably well-crafted\, sepia-toned images capture the forces of western settlement in South Dakota and Wyoming and document its effects on the area's indigenous communities. The..."
"Great Conversations in Music","https://www.loc.gov/collections/great-conversations-in-music/about-this-collection/","","","The programs for \"Great Conversations in Music\" were created and hosted by the late Eugene Istomin (1925-2003)\, one of the world's most admired classical musicians. The four-part series was commissioned by the Library of Congress in 2001 and produced and directed by Peter Rosen of Peter Rosen Productions\, Inc. Filmed between December 2001 and March 2003 at the Library of Congress and the American..."
"Groups of Images (LOTS)","https://www.loc.gov/collections/groups-of-images/about-this-collection/","Media-Photos","","More than 13\,000 groups of photographs\, prints\, drawings\, and other visual material offer access to 1.5 million items dating primarily from the 1800s through the present. The groups\, called \"LOTs\,\" gather images related to one another by provenance\, creator\, subject\, or format into manageable sets. Examples include the component parts of the NAACP archives\, photo projects by Milton Rogovin\, LOTs relating to Native Americans\,..."
"Guide Records","https://www.loc.gov/collections/guide-records/about-this-collection/","","","This category provides an overview of collections in the Prints & Photographs Division in order to indicate the breadth and depth of the visual resources available for research. The descriptions of \"filing series\" represent a comprehensive outline of all collections\, based on their storage category\, for example\, cartoon drawings\, panoramic photographs\, and theater posters. The descriptions of major archives and subject-based collections indicate special..."
"Hannah Arendt Papers","https://memory.loc.gov/ammem/arendthtml/arendthome.html","","","The papers of the author\, educator\, and political philosopher Hannah Arendt (1906-1975) are one of the principal sources for the study of modern intellectual life. Located in the Manuscript Division at the Library of Congress\, they constitute a large and diverse collection reflecting a complex career. With over 25\,000 items (about 75\,000 digital images)\, the papers contain correspondence\, articles\, lectures\, speeches\, book manuscripts\, transcripts..."
"Harris & Ewing Collection","https://www.loc.gov/collections/harris-ewing/about-this-collection/","Media-Photos","","Background and Scope of the Collection The Harris & Ewing\, Inc. Collection of photographic negatives includes glass and film negatives taken by Harris & Ewing\, Inc.\, which provide excellent coverage of Washington people\, events\, and architecture\, during the period 1905-1945. Harris & Ewing\, Inc.\, gave its collection of negatives to the Library in 1955. The Library retained about 50\,000 news photographs and 20\,000 studio..."
"Hidden Treasures at the Library of Congress","https://www.loc.gov/collections/hidden-treasures-at-the-library-of-congress/about-this-collection/","","","This Week's Hidden Treasure in Partnership with HISTORY This Week's Hidden Treasure is an exciting opportunity to examine historically meaningful and culturally relevant artifacts from the treasured collections of the Library of Congress. It's a unique chance to learn more about some of the pieces of history that have shaped our nation. The Library of Congress and HISTORY have joined forces to bring the..."
"Highsmith (Carol M.) Archive","https://www.loc.gov/collections/carol-m-highsmith/about-this-collection/","Media-Photos","","Photographs of landmark buildings and architectural renovation projects in Washington\, D.C.\, and throughout the United States. The first 23 groups of photographs contain more than 2\,500 images and date from 1980 to 2005\, with many views in color as well as black-and-white. Extensive coverage of the Library of Congress Jefferson Building was added in 2007. The archive is expected to grow to more than..."
"Hispano Music and Culture of the Northern Rio Grande: The Juan B. Rael Collection","https://www.loc.gov/collections/hispano-music-and-culture-from-the-northern-rio-grande/about-this-collection/","","","Hispano Music and Culture of the Northern Rio Grande: The Juan B. Rael Collection is an online presentation of an ethnographic field collection documenting religious and secular music of Spanish-speaking residents of rural Northern New Mexico and Southern Colorado. In 1940\, Juan Bautista Rael of Stanford University\, a native of Arroyo Hondo\, New Mexico\, used disc recording equipment supplied by the Archive of American..."
"Historic American Buildings Survey/Historic American Engineering Record/Historic American Landscapes Survey","https://www.loc.gov/collections/historic-american-buildings-landscapes-and-engineering-records/about-this-collection/","","","The list of building types . . . should include public buildings\, churches\, residences\, bridges\, forts\, barns\, mills\, shops\, rural outbuildings\, and any other kind of structure of which there are good specimens extant . . . . Other structures which would not engage the especial interest of an architectural connoisseur are the great number of plain structures which by fate or accident are..."
"Historic Sheet Music Collection\, 1800-1922","https://www.loc.gov/collections/historic-sheet-music/about-this-collection/","","","Pictured above\, Cover art for for \"Alice's reverie\, op. 18\,\" by J.P. Melmoth\, published by Chas. W. Held\, New York\, 1890. This sheet music collection consists of approximately 9\,000 items published from 1800 to 1922\, although the majority is from 1850 to 1920 [view finding aid for the collection]. The bulk was published in many different cities in the United States\, but some of..."
